identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,right,Bored,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,19.0,13.2,80.0
Female,right,BreathTaking Over The Moon,1,1,False,1.0,100.0,0.20654329147389294,1.0,81.0,81.0,100.0
Female,right,Chewing,1,1,False,1.0,100.0,0.20654329147389294,1.0,17.0,17.0,100.0
Female,right,Choking,1,1,False,1.0,100.0,0.20654329147389294,1.0,7.0,7.0,100.0
Female,right,Coughing,1,1,False,1.0,100.0,0.20654329147389294,1.0,55.0,55.0,100.0
Female,right,Crazed,1,1,False,1.0,100.0,0.20654329147389294,1.0,51.0,51.0,100.0
Female,right,Crying,1,1,False,1.0,100.0,0.20654329147389294,1.0,8.0,8.0,100.0
Female,right,Cute,5,5,True,1.0,100.0,0.5655085052479191,1.0,10.0,10.0,100.0
Female,right,Despise,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,8.0,7.6,80.0
Female,right,Determined,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Female,right,Distrust,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,2.0,5.4,80.0
Female,right,Empathy,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,9.4,100.0
Female,right,Expressions Anger,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,2.0,0.8,60.0
Female,right,Expressions Confusion,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,1.0,2.6,60.0
Female,right,Expressions Contempt,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,10.0,9.2,60.0
Female,right,Expressions Desire,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,10.0,10.8,80.0
Female,right,Expressions Disgust,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,9.0,9.6,80.0
Female,right,Expressions Excitement,5,5,True,0.4,40.0,0.1176182311592533,0.769280067791163,-2.0,3.2,40.0
Female,right,Expressions Fear,5,5,True,0.4,40.0,0.1176182311592533,0.769280067791163,0.0,1.8,40.0
Female,right,Expressions Happiness,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,3.0,2.8,60.0
Female,right,Expressions Sadness,5,5,True,0.4,40.0,0.1176182311592533,0.769280067791163,0.0,5.0,40.0
Female,right,Expressions Surprise,5,5,True,1.0,100.0,0.5655085052479191,1.0,11.0,15.4,100.0
Female,right,Eyeglasses,1,1,False,1.0,100.0,0.20654329147389294,1.0,83.0,83.0,100.0
Female,right,Fear,5,5,True,1.0,100.0,0.5655085052479191,1.0,19.0,20.6,100.0
Female,right,Fierce Cutthroat,1,1,False,1.0,100.0,0.20654329147389294,1.0,16.0,16.0,100.0
Female,right,Fierce Fiery,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Female,right,Fierce Savage,1,1,False,1.0,100.0,0.20654329147389294,1.0,77.0,77.0,100.0
Female,right,Happy,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,9.4,100.0
Female,right,Happy Elated,1,1,False,1.0,100.0,0.20654329147389294,1.0,29.0,29.0,100.0
Female,right,Happy Perky,1,1,False,1.0,100.0,0.20654329147389294,1.0,23.0,23.0,100.0
Female,right,Happy So Peaceful,1,1,False,1.0,100.0,0.20654329147389294,1.0,40.0,40.0,100.0
Female,right,Humiliated,1,1,False,1.0,100.0,0.20654329147389294,1.0,24.0,24.0,100.0
Female,right,Insanity Deranged,1,1,False,1.0,100.0,0.20654329147389294,1.0,79.0,79.0,100.0
Female,right,Insanity Go Cuckoo,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Female,right,Insanity Going Crazy,1,1,False,1.0,100.0,0.20654329147389294,1.0,18.0,18.0,100.0
Female,right,Insanity Hostile,1,1,False,1.0,100.0,0.20654329147389294,1.0,60.0,60.0,100.0
Female,right,Insanity Lunatic,1,1,False,1.0,100.0,0.20654329147389294,1.0,18.0,18.0,100.0
Female,right,Joy,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,22.0,21.2,80.0
Female,right,Judgemental,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,13.0,100.0
Female,right,Nervous,1,1,False,1.0,100.0,0.20654329147389294,1.0,2.0,2.0,100.0
Female,right,Pain,5,5,True,1.0,100.0,0.5655085052479191,1.0,23.0,29.2,100.0
Female,right,Pain Illness,1,1,False,1.0,100.0,0.20654329147389294,1.0,53.0,53.0,100.0
Female,right,Playful,5,5,True,1.0,100.0,0.5655085052479191,1.0,14.0,12.2,100.0
Female,right,Pleasure Oo So Funny,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Female,right,Romantic,5,5,True,0.6,60.0,0.23071993220883708,0.8823817688407467,13.0,11.2,60.0
Female,right,S Wink,1,1,False,1.0,100.0,0.20654329147389294,1.0,50.0,50.0,100.0
Female,right,Sad,5,5,True,1.0,100.0,0.5655085052479191,1.0,8.0,12.6,100.0
Female,right,Scream,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,right,Seriousness,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,2.0,1.6,80.0
Female,right,Silly,5,5,True,1.0,100.0,0.5655085052479191,1.0,22.0,25.2,100.0
Female,right,Sleepy,6,6,True,1.0,100.0,0.6096569663469354,0.9999999999999999,12.0,20.666666666666668,100.0
Female,right,Subtle,4,4,False,0.5,50.0,0.15003570882017148,0.8499642911798285,0.5,0.75,50.0
Female,right,Talking,5,5,True,1.0,100.0,0.5655085052479191,1.0,11.0,11.4,100.0
Female,right,Terror,1,1,False,1.0,100.0,0.20654329147389294,1.0,25.0,25.0,100.0
