expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Fear,Male_Fear 05,99.0,91.0,80.0,117.0,131.0,133.0
Fierce Cutthroat,Male_Fierce Cutthroat,98.0,101.0,75.0,109.0,114.0,115.0
Fierce Fiery,Male_Fierce Fiery,102.0,88.0,88.0,108.0,121.0,122.0
Fierce Savage,Male_Fierce Savage,101.0,107.0,107.0,108.0,130.0,131.0
Happy,Male_Happy 01,101.0,55.0,54.0,114.0,120.0,124.0
Happy,Male_Happy 02,102.0,99.0,95.0,113.0,113.0,113.0
Happy,Male_Happy 03,102.0,102.0,93.0,113.0,121.0,123.0
Happy,Male_Happy 04,101.0,98.0,94.0,114.0,115.0,116.0
Happy,Male_Happy 05,99.0,86.0,86.0,116.0,128.0,131.0
Happy Elated,Male_Happy Elated,101.0,89.0,89.0,108.0,159.0,160.0
Happy Perky,Male_Happy Perky,101.0,89.0,80.0,108.0,118.0,130.0
Happy So Peaceful,Male_Happy So Peaceful,100.0,49.0,44.0,110.0,173.0,173.0
Humiliated,Male_Humiliated,99.0,95.0,86.0,115.0,121.0,123.0
Insanity Deranged,Male_Insanity Deranged,101.0,91.0,91.0,108.0,140.0,148.0
