folder,expression,direction,A_boundary,B_boundary,lead_deg
Female_Nervous,Nervous,left,0.0,0.0,0.0
Female_Pain 01,Pain,left,0.0,0.0,0.0
Female_Pain 02,Pain,left,0.0,0.0,0.0
Female_Pain 03,Pain,left,0.0,0.0,0.0
Female_Pain 04,Pain,left,0.0,0.0,0.0
Female_Pain 05,Pain,left,0.0,0.0,0.0
Female_Pain Illness,Pain Illness,left,0.0,0.0,0.0
Female_Playful 01,Playful,left,0.0,0.0,0.0
Female_Playful 02,Playful,left,0.0,0.0,0.0
Female_Playful 03,Playful,left,0.0,0.0,0.0
Female_Playful 04,Playful,left,0.0,0.0,0.0
Female_Playful 05,Playful,left,0.0,0.0,0.0
Female_Pleasure Oo So Funny,Pleasure Oo So Funny,left,0.0,0.0,0.0
Female_Romantic 01,Romantic,left,0.0,0.0,0.0
Female_Romantic 02,Romantic,left,0.0,0.0,0.0
Female_Romantic 03,Romantic,left,0.0,0.0,0.0
Female_Romantic 04,Romantic,left,0.0,0.0,0.0
Female_Romantic 05,Romantic,left,0.0,0.0,0.0
Female_S Wink 02,S Wink,left,0.0,0.0,0.0
Female_Sad 01,Sad,left,0.0,0.0,0.0
Female_Sad 02,Sad,left,0.0,0.0,0.0
Female_Sad 03,Sad,left,0.0,0.0,0.0
Female_Sad 04,Sad,left,0.0,0.0,0.0
Female_Sad 05,Sad,left,0.0,0.0,0.0
Female_Scream,Scream,left,0.0,0.0,0.0
Female_Seriousness 01,Seriousness,left,0.0,0.0,0.0
Female_Seriousness 02,Seriousness,left,0.0,0.0,0.0
Female_Seriousness 03,Seriousness,left,0.0,0.0,0.0
Female_Seriousness 04,Seriousness,left,0.0,0.0,0.0
Female_Seriousness 05,Seriousness,left,0.0,0.0,0.0
Female_Silly 01,Silly,left,0.0,0.0,0.0
Female_Silly 02,Silly,left,0.0,0.0,0.0
Female_Silly 03,Silly,left,0.0,0.0,0.0
Female_Silly 04,Silly,left,0.0,0.0,0.0
Female_Silly 05,Silly,left,0.0,0.0,0.0
Female_Sleepy,Sleepy,left,0.0,0.0,0.0
Female_Sleepy 01,Sleepy,left,0.0,0.0,0.0
Female_Sleepy 02,Sleepy,left,0.0,0.0,0.0
Female_Sleepy 03,Sleepy,left,0.0,0.0,0.0
Female_Sleepy 04,Sleepy,left,0.0,0.0,0.0
Female_Sleepy 05,Sleepy,left,0.0,0.0,0.0
