direction,abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
left,104.0,0.504855005746703,60.24209021181915,1.003015274186324,9.895897246321415,0.15369095784160516,11.739262420933066,0.2297082923056091,0.00702576112412178,-0.15633176124068,427
left,105.0,0.5126299241108414,60.75216240626029,1.010687690289294,10.049588204163019,0.1283778163148592,12.084158811423906,0.20406631223281596,0.00468384074941452,-0.15867376247250783,427
left,106.0,0.5178920033385659,61.09484800745229,1.0158132084359608,10.177966020477879,0.1481664851307869,12.347945330728813,0.20585358231840983,0.00702576112412178,-0.1615387657068373,427
left,107.0,0.5235475740053056,61.460959316137526,1.0212733280742476,10.326132505608665,,,,0.00702576112412178,-0.16738050628183038,427
right,1.0,0.005629972635443373,4.898887721939444,0.08541858514260492,0.08541858527565101,0.08541858527565101,33.57742005057876,0.1109460183600317,0.9976580796252927,0.01514468902168006,427
right,2.0,0.007642373966109836,6.230350150017884,0.10863157583562007,0.14992060362245774,0.06450201834680674,27.990098024200883,0.08624392467827931,0.9953161592505855,0.015462798592078324,427
right,3.0,0.010213484389999711,7.5089423896557275,0.1309045082355132,0.21501576723160104,0.0650951636091433,24.80072793012274,0.08414031186117082,0.9953161592505855,0.015437572007994461,427
right,4.0,0.013557068916338668,8.85823654709711,0.15438842236891004,0.2803652912653128,0.06534952403371172,23.159040027289308,0.08579334070954027,0.9953161592505855,0.015271110752427326,427
right,5.0,0.017646325137073596,10.23855893729163,0.1783854513575238,0.3494435267182682,0.06907823545295544,23.120679579261708,0.0907520211325736,0.9953161592505855,0.014530598558921725,427
right,6.0,0.021109922568747812,11.256714817511673,0.19606354526425135,0.41691413043018877,0.06747060371192054,22.716305586264262,0.09194064452214738,0.9718969555035128,0.01385316901798829,427
right,7.0,0.025172137544082533,12.32992716416263,0.21467448069563516,0.48769018104827727,0.07077605061808849,23.128490032060807,0.09523245775134279,0.9508196721311475,0.012805606498092901,427
right,8.0,0.028708110788108594,13.211220147179775,0.22994421338727938,0.5564667044722189,0.0687765234239417,23.185167902450512,0.0978194362804538,0.9344262295081968,0.01180250387839467,427
right,9.0,0.03256425826834292,14.109119367264473,0.24548660766603797,0.6286581048994943,0.0721914004272753,21.79713982022145,0.0999390716191198,0.8899297423887588,0.01119631389265038,427
right,10.0,0.03822044996802087,15.302105895808486,0.26610009886970004,0.7034656818524282,0.07480757695293398,19.576009473786176,0.10103765058503497,0.8454332552693209,0.010411276331550902,427
right,11.0,0.04605063021322603,16.80831718668167,0.2920708625601382,0.7839933627282882,0.08052768087586,19.43863062413885,0.10821949923520066,0.7845433255269321,0.009451201006735237,427
right,12.0,0.05296327609926532,18.07995964715855,0.31396764230672314,0.8640167882875376,0.08002342555924936,19.615922991291324,0.11093261428788061,0.7611241217798594,0.008791722933079097,427
right,13.0,0.06291174790898307,19.742383987060474,0.3425172075315158,0.9454828363273999,0.08146604803986236,19.320832746553684,0.10499005691438425,0.6978922716627635,0.007282049929509397,427
right,14.0,0.07188583760406708,21.1355395495752,0.3663741458181196,1.0229931274490034,0.07751029112160346,20.57126350061459,0.10657088754292952,0.6604215456674473,0.006065404805980745,427
right,15.0,0.07890187228312258,22.180234139641218,0.38423076505822934,1.1008717906912155,0.07787866324221222,19.661116796211672,0.10901749379217485,0.6416861826697893,0.005127618826524435,427
right,16.0,0.08830826064741863,23.466766433358472,0.40613696115217945,1.1835223574483598,0.08265056675714408,18.877807562785744,0.11214485732223446,0.6088992974238876,0.003936226390284733,427
right,17.0,0.09733785748202572,24.637246002358072,0.42599898360372984,1.2660092507844543,0.08248689333609452,19.674998133088515,0.11268947199335981,0.5784543325526932,0.002588290939286386,427
right,18.0,0.10602973328262079,25.735586151864545,0.44460580328728055,1.3463528974557544,0.08034364667130019,19.483403825552905,0.11314498297259455,0.531615925058548,0.0012983907302034543,427
right,19.0,0.11628435883644872,26.988503925135877,0.46577993126049533,1.43024549936217,0.08389260190641573,19.31117834585966,0.11974139603190735,0.5011709601873536,0.00011061491396723085,427
